"experimentSeed","model","rep","n","m","lambda","eta","legitimacySignal","geometricRegime","regimeNumber","maxFrontSize","regimeAtP1","frontSizeAtP1","calibrationStatus","pStar","areaStar","frontSizeAtPStar","selectedCandidate","winnerAtPMin","winnerAtInfinity","firstWinnerSwitchP","firstWinnerSwitchStatus","firstWinnerSwitchWinner"
123456,"TwoPole",1,51,3,0.5,1,"TopSupport","multi-point",3,3,"two-point",2,"calibrated",1.139432815665091,0.03368640276981107,3,3,,,,"",
123456,"TwoPole",2,51,3,0.5,1,"TopSupport","multi-point",3,3,"one-point",1,"degenerate",,,,,2,3,1.7549055469003967,"SwitchDetected",3
123456,"TwoPole",3,51,3,0.5,1,"TopSupport","multi-point",3,3,"one-point",1,"calibrated",1.5938606847697756,0.0019738434413961274,3,3,,,,"",
123456,"TwoPole",4,51,3,0.5,1,"TopSupport","multi-point",3,3,"one-point",1,"degenerate",,,,,2,3,1.5849633566706869,"SwitchDetected",3
123456,"TwoPole",5,51,3,0.5,1,"TopSupport","multi-point",3,3,"two-point",2,"calibrated",1.2233801540552787,0.006531586359012803,3,3,,,,"",
123456,"TwoPole",6,51,3,0.5,1,"TopSupport","multi-point",3,3,"one-point",1,"degenerate",,,,,2,3,1.2730185375943144,"SwitchDetected",3
123456,"TwoPole",7,51,3,0.5,1,"TopSupport","two-point",2,2,"two-point",2,"degenerate",,,,,1,1,,"NoSwitchDetected",
123456,"TwoPole",8,51,3,0.5,1,"TopSupport","two-point",2,2,"one-point",1,"degenerate",,,,,2,1,1.0588995077933394,"SwitchDetected",1
123456,"TwoPole",9,51,3,0.5,1,"TopSupport","two-point",2,2,"one-point",1,"degenerate",,,,,2,1,1.0588995077933394,"SwitchDetected",1
123456,"TwoPole",10,51,3,0.5,1,"TopSupport","multi-point",3,3,"one-point",1,"degenerate",,,,,2,3,1.9068912400437852,"SwitchDetected",3
123456,"TwoPole",11,51,3,0.5,1,"TopSupport","multi-point",3,3,"two-point",2,"calibrated",1.2233801540552787,0.022912558295759257,3,3,,,,"",
123456,"TwoPole",12,51,3,0.5,1,"TopSupport","two-point",2,2,"one-point",1,"degenerate",,,,,2,1,1.7004410155630727,"SwitchDetected",1
123456,"TwoPole",13,51,3,0.5,1,"TopSupport","multi-point",3,3,"multi-point",3,"degenerate",,,,,1,1,,"NoSwitchDetected",
123456,"TwoPole",14,51,3,0.5,1,"TopSupport","two-point",2,2,"two-point",2,"degenerate",,,,,1,1,,"NoSwitchDetected",
123456,"TwoPole",15,51,3,0.5,1,"TopSupport","multi-point",3,3,"one-point",1,"degenerate",,,,,2,3,1.2537659274722734,"SwitchDetected",3
123456,"TwoPole",16,51,3,0.5,1,"TopSupport","multi-point",3,3,"multi-point",3,"degenerate",,,,,1,1,,"NoSwitchDetected",
123456,"TwoPole",17,51,3,0.5,1,"TopSupport","multi-point",3,3,"two-point",2,"calibrated",1.3223626212165736,0.014385679226013394,3,3,,,,"",
123456,"TwoPole",18,51,3,0.5,1,"TopSupport","multi-point",3,3,"one-point",1,"degenerate",,,,,2,1,1.2224008081692845,"SwitchDetected",1
123456,"TwoPole",19,51,3,0.5,1,"TopSupport","multi-point",3,3,"one-point",1,"calibrated",1.3223626212165736,0.0031702981597412265,3,3,,,,"",
123456,"TwoPole",20,51,3,0.5,1,"TopSupport","multi-point",3,3,"one-point",1,"calibrated",1.5938606847697756,0.001973843441396161,3,3,,,,"",
123456,"TwoPole",21,51,3,0.5,1,"TopSupport","multi-point",3,3,"one-point",1,"degenerate",,,,,2,1,1.8579971473438577,"SwitchDetected",1
123456,"TwoPole",22,51,3,0.5,1,"TopSupport","multi-point",3,3,"one-point",1,"degenerate",,,,,2,1,1.1805771850792885,"SwitchDetected",1
123456,"TwoPole",23,51,3,0.5,1,"TopSupport","multi-point",3,3,"two-point",2,"calibrated",1.1741172377804836,0.034157996467923356,3,3,,,,"",
123456,"TwoPole",24,51,3,0.5,1,"TopSupport","two-point",2,2,"one-point",1,"degenerate",,,,,2,1,2.3692435057833823,"SwitchDetected",1
123456,"TwoPole",25,51,3,0.5,1,"TopSupport","multi-point",3,3,"multi-point",3,"degenerate",,,,,1,1,,"NoSwitchDetected",
123456,"TwoPole",26,51,3,0.5,1,"TopSupport","multi-point",3,3,"one-point",1,"degenerate",,,,,2,3,1.2537659274722734,"SwitchDetected",3
123456,"TwoPole",27,51,3,0.5,1,"TopSupport","multi-point",3,3,"multi-point",3,"calibrated",1,0.0023291925465838462,3,1,,,,"",
123456,"TwoPole",28,51,3,0.5,1,"TopSupport","multi-point",3,3,"one-point",1,"degenerate",,,,,2,3,1.485432062947722,"SwitchDetected",3
123456,"TwoPole",29,51,3,0.5,1,"TopSupport","multi-point",3,3,"one-point",1,"degenerate",,,,,2,3,1.2537659274722734,"SwitchDetected",3
123456,"TwoPole",30,51,3,0.5,1,"TopSupport","two-point",2,2,"one-point",1,"degenerate",,,,,2,1,1.473940318641535,"SwitchDetected",1
123456,"TwoPole",31,51,3,0.5,1,"TopSupport","multi-point",3,3,"one-point",1,"calibrated",1.3223626212165736,0.003170298159741278,3,3,,,,"",
123456,"TwoPole",32,51,3,0.5,1,"TopSupport","multi-point",3,3,"two-point",2,"calibrated",1.2233801540552787,0.03234248521397316,3,3,,,,"",
123456,"TwoPole",33,51,3,0.5,1,"TopSupport","two-point",2,2,"two-point",2,"degenerate",,,,,1,1,,"NoSwitchDetected",
123456,"TwoPole",34,51,3,0.5,1,"TopSupport","multi-point",3,3,"two-point",2,"calibrated",1.5938606847697756,0.011905088579565464,3,3,,,,"",
123456,"TwoPole",35,51,3,0.5,1,"TopSupport","two-point",2,2,"one-point",1,"degenerate",,,,,2,3,3.2730360085901227,"SwitchDetected",3
123456,"TwoPole",36,51,3,0.5,1,"TopSupport","multi-point",3,3,"one-point",1,"degenerate",,,,,2,3,1.485432062947722,"SwitchDetected",3
