"experimentSeed","model","rep","n","m","lambda","eta","legitimacySignal","geometricRegime","regimeNumber","maxFrontSize","regimeAtP1","frontSizeAtP1","calibrationStatus","pStar","areaStar","frontSizeAtPStar","selectedCandidate","winnerAtPMin","winnerAtInfinity","firstWinnerSwitchP","firstWinnerSwitchStatus","firstWinnerSwitchWinner"
123456,"TwoPole",1,51,3,0.5,1,"PairwiseSupport","two-point",2,2,"one-point",1,"degenerate",,,,,1,3,1.1375103838437979,"SwitchDetected",3
123456,"TwoPole",2,51,3,0.5,1,"PairwiseSupport","multi-point",3,3,"one-point",1,"calibrated",3.7996059667886293,0.014484524668619464,3,3,,,,"",
123456,"TwoPole",3,51,3,0.5,1,"PairwiseSupport","multi-point",3,3,"one-point",1,"calibrated",2.9893711248892822,0.024381527282389185,3,3,,,,"",
123456,"TwoPole",4,51,3,0.5,1,"PairwiseSupport","multi-point",3,3,"one-point",1,"degenerate",,,,,2,3,1.5849633566706869,"SwitchDetected",3
123456,"TwoPole",5,51,3,0.5,1,"PairwiseSupport","two-point",2,2,"one-point",1,"degenerate",,,,,1,3,1.2224008081692845,"SwitchDetected",3
123456,"TwoPole",6,51,3,0.5,1,"PairwiseSupport","multi-point",3,3,"one-point",1,"calibrated",2.9163966299416724,0.014517832180473256,3,3,,,,"",
123456,"TwoPole",7,51,3,0.5,1,"PairwiseSupport","one-point",1,1,"one-point",1,"degenerate",,,,,1,1,,"NoSwitchDetected",
123456,"TwoPole",8,51,3,0.5,1,"PairwiseSupport","two-point",2,2,"one-point",1,"degenerate",,,,,2,1,1.0588995077933394,"SwitchDetected",1
123456,"TwoPole",9,51,3,0.5,1,"PairwiseSupport","two-point",2,2,"one-point",1,"degenerate",,,,,2,1,1.0588995077933394,"SwitchDetected",1
123456,"TwoPole",10,51,3,0.5,1,"PairwiseSupport","multi-point",3,3,"one-point",1,"degenerate",,,,,2,3,1.9068912400437852,"SwitchDetected",3
123456,"TwoPole",11,51,3,0.5,1,"PairwiseSupport","two-point",2,2,"one-point",1,"degenerate",,,,,1,3,1.2224008081692845,"SwitchDetected",3
123456,"TwoPole",12,51,3,0.5,1,"PairwiseSupport","two-point",2,2,"one-point",1,"degenerate",,,,,2,1,1.7004410155630727,"SwitchDetected",1
123456,"TwoPole",13,51,3,0.5,1,"PairwiseSupport","one-point",1,1,"one-point",1,"degenerate",,,,,1,1,,"NoSwitchDetected",
123456,"TwoPole",14,51,3,0.5,1,"PairwiseSupport","one-point",1,1,"one-point",1,"degenerate",,,,,1,1,,"NoSwitchDetected",
123456,"TwoPole",15,51,3,0.5,1,"PairwiseSupport","multi-point",3,3,"one-point",1,"calibrated",2.795609857113274,0.004752931844786784,3,3,,,,"",
123456,"TwoPole",16,51,3,0.5,1,"PairwiseSupport","one-point",1,1,"one-point",1,"degenerate",,,,,1,1,,"NoSwitchDetected",
123456,"TwoPole",17,51,3,0.5,1,"PairwiseSupport","two-point",2,2,"one-point",1,"degenerate",,,,,1,3,1.3219291661716357,"SwitchDetected",3
123456,"TwoPole",18,51,3,0.5,1,"PairwiseSupport","two-point",2,2,"one-point",1,"degenerate",,,,,2,1,1.2224008081692845,"SwitchDetected",1
123456,"TwoPole",19,51,3,0.5,1,"PairwiseSupport","multi-point",3,3,"one-point",1,"calibrated",2.600154083204931,0.02495807999467492,3,3,,,,"",
123456,"TwoPole",20,51,3,0.5,1,"PairwiseSupport","multi-point",3,3,"one-point",1,"calibrated",2.9893711248892822,0.024381527282389237,3,3,,,,"",
123456,"TwoPole",21,51,3,0.5,1,"PairwiseSupport","two-point",2,2,"one-point",1,"degenerate",,,,,2,1,1.8579971473438577,"SwitchDetected",1
123456,"TwoPole",22,51,3,0.5,1,"PairwiseSupport","two-point",2,2,"one-point",1,"degenerate",,,,,2,1,1.1805771850792885,"SwitchDetected",1
123456,"TwoPole",23,51,3,0.5,1,"PairwiseSupport","two-point",2,2,"one-point",1,"degenerate",,,,,1,3,1.169933063033857,"SwitchDetected",3
123456,"TwoPole",24,51,3,0.5,1,"PairwiseSupport","two-point",2,2,"one-point",1,"degenerate",,,,,2,1,2.3692435057833823,"SwitchDetected",1
123456,"TwoPole",25,51,3,0.5,1,"PairwiseSupport","one-point",1,1,"one-point",1,"degenerate",,,,,1,1,,"NoSwitchDetected",
123456,"TwoPole",26,51,3,0.5,1,"PairwiseSupport","multi-point",3,3,"one-point",1,"calibrated",2.795609857113274,0.004752931844786784,3,3,,,,"",
123456,"TwoPole",27,51,3,0.5,1,"PairwiseSupport","one-point",1,1,"one-point",1,"degenerate",,,,,1,1,,"NoSwitchDetected",
123456,"TwoPole",28,51,3,0.5,1,"PairwiseSupport","multi-point",3,3,"one-point",1,"calibrated",3.4151277510751323,0.014367844682375758,3,3,,,,"",
123456,"TwoPole",29,51,3,0.5,1,"PairwiseSupport","multi-point",3,3,"one-point",1,"calibrated",2.795609857113274,0.004752931844786784,3,3,,,,"",
123456,"TwoPole",30,51,3,0.5,1,"PairwiseSupport","two-point",2,2,"one-point",1,"degenerate",,,,,2,1,1.473940318641535,"SwitchDetected",1
123456,"TwoPole",31,51,3,0.5,1,"PairwiseSupport","multi-point",3,3,"one-point",1,"calibrated",2.600154083204931,0.02495807999467492,3,3,,,,"",
123456,"TwoPole",32,51,3,0.5,1,"PairwiseSupport","two-point",2,2,"one-point",1,"degenerate",,,,,1,3,1.2224008081692845,"SwitchDetected",3
123456,"TwoPole",33,51,3,0.5,1,"PairwiseSupport","one-point",1,1,"one-point",1,"degenerate",,,,,1,1,,"NoSwitchDetected",
123456,"TwoPole",34,51,3,0.5,1,"PairwiseSupport","two-point",2,2,"one-point",1,"degenerate",,,,,1,3,1.5849633566706869,"SwitchDetected",3
123456,"TwoPole",35,51,3,0.5,1,"PairwiseSupport","two-point",2,2,"one-point",1,"degenerate",,,,,2,3,3.2730360085901227,"SwitchDetected",3
123456,"TwoPole",36,51,3,0.5,1,"PairwiseSupport","multi-point",3,3,"one-point",1,"calibrated",3.4151277510751323,0.014367844682375758,3,3,,,,"",
123456,"TwoPole",37,51,3,0.5,1,"PairwiseSupport","two-point",2,2,"one-point",1,"degenerate",,,,,2,1,1.054454287405083,"SwitchDetected",1
123456,"TwoPole",38,51,3,0.5,1,"PairwiseSupport","two-point",2,2,"one-point",1,"degenerate",,,,,1,3,1.087468032727584,"SwitchDetected",3
123456,"TwoPole",39,51,3,0.5,1,"PairwiseSupport","two-point",2,2,"one-point",1,"degenerate",,,,,2,1,1.6374433237381063,"SwitchDetected",1
123456,"TwoPole",40,51,3,0.5,1,"PairwiseSupport","multi-point",3,3,"one-point",1,"calibrated",2.600154083204931,0.02495807999467492,3,3,,,,"",
123456,"TwoPole",41,51,3,0.5,1,"PairwiseSupport","two-point",2,2,"one-point",1,"degenerate",,,,,2,1,1.0588995077933394,"SwitchDetected",1
123456,"TwoPole",42,51,3,0.5,1,"PairwiseSupport","one-point",1,1,"one-point",1,"degenerate",,,,,1,1,,"NoSwitchDetected",
123456,"TwoPole",43,51,3,0.5,1,"PairwiseSupport","multi-point",3,3,"one-point",1,"calibrated",2.600154083204931,0.02495807999467492,3,3,,,,"",
123456,"TwoPole",44,51,3,0.5,1,"PairwiseSupport","one-point",1,1,"one-point",1,"degenerate",,,,,1,1,,"NoSwitchDetected",
123456,"TwoPole",45,51,3,0.5,1,"PairwiseSupport","one-point",1,1,"one-point",1,"degenerate",,,,,1,1,,"NoSwitchDetected",
123456,"TwoPole",46,51,3,0.5,1,"PairwiseSupport","two-point",2,2,"one-point",1,"degenerate",,,,,2,1,1.0588995077933394,"SwitchDetected",1
123456,"TwoPole",47,51,3,0.5,1,"PairwiseSupport","one-point",1,1,"one-point",1,"degenerate",,,,,1,1,,"NoSwitchDetected",
123456,"TwoPole",48,51,3,0.5,1,"PairwiseSupport","two-point",2,2,"one-point",1,"degenerate",,,,,1,3,1.5849633566706869,"SwitchDetected",3
123456,"TwoPole",49,51,3,0.5,1,"PairwiseSupport","two-point",2,2,"one-point",1,"degenerate",,,,,1,3,1.1154841682301817,"SwitchDetected",3
123456,"TwoPole",50,51,3,0.5,1,"PairwiseSupport","two-point",2,2,"one-point",1,"degenerate",,,,,1,3,1.3219291661716357,"SwitchDetected",3
123456,"TwoPole",51,51,3,0.5,1,"PairwiseSupport","two-point",2,2,"one-point",1,"degenerate",,,,,2,1,1.0588995077933394,"SwitchDetected",1
123456,"TwoPole",52,51,3,0.5,1,"PairwiseSupport","multi-point",3,3,"one-point",1,"degenerate",,,,,2,3,1.4150462671072566,"SwitchDetected",3
123456,"TwoPole",53,51,3,0.5,1,"PairwiseSupport","two-point",2,2,"one-point",1,"degenerate",,,,,2,1,1.3985584195197238,"SwitchDetected",1
123456,"TwoPole",54,51,3,0.5,1,"PairwiseSupport","multi-point",3,3,"one-point",1,"calibrated",2.3457862728062553,0.015472677626743455,3,3,,,,"",
123456,"TwoPole",55,51,3,0.5,1,"PairwiseSupport","one-point",1,1,"one-point",1,"degenerate",,,,,2,2,,"NoSwitchDetected",
123456,"TwoPole",56,51,3,0.5,1,"PairwiseSupport","two-point",2,2,"one-point",1,"degenerate",,,,,2,1,1.0588995077933394,"SwitchDetected",1
123456,"TwoPole",57,51,3,0.5,1,"PairwiseSupport","two-point",2,2,"one-point",1,"degenerate",,,,,2,1,1.0588995077933394,"SwitchDetected",1
123456,"TwoPole",58,51,3,0.5,1,"PairwiseSupport","one-point",1,1,"one-point",1,"degenerate",,,,,1,1,,"NoSwitchDetected",
123456,"TwoPole",59,51,3,0.5,1,"PairwiseSupport","two-point",2,2,"one-point",1,"degenerate",,,,,2,1,1.047310681127489,"SwitchDetected",1
123456,"TwoPole",60,51,3,0.5,1,"PairwiseSupport","two-point",2,2,"one-point",1,"degenerate",,,,,2,1,1.4329654202196895,"SwitchDetected",1
123456,"TwoPole",61,51,3,0.5,1,"PairwiseSupport","two-point",2,2,"one-point",1,"degenerate",,,,,1,3,1.1154841682301817,"SwitchDetected",3
123456,"TwoPole",62,51,3,0.5,1,"PairwiseSupport","multi-point",3,3,"one-point",1,"degenerate",,,,,2,3,1.087468032727584,"SwitchDetected",3
123456,"TwoPole",63,51,3,0.5,1,"PairwiseSupport","two-point",2,2,"one-point",1,"degenerate",,,,,2,1,1.2064543540675492,"SwitchDetected",1
123456,"TwoPole",64,51,3,0.5,1,"PairwiseSupport","two-point",2,2,"one-point",1,"degenerate",,,,,1,3,1.5849633566706869,"SwitchDetected",3
123456,"TwoPole",65,51,3,0.5,1,"PairwiseSupport","two-point",2,2,"one-point",1,"degenerate",,,,,2,1,1.9475334442569967,"SwitchDetected",1
123456,"TwoPole",66,51,3,0.5,1,"PairwiseSupport","two-point",2,2,"one-point",1,"degenerate",,,,,2,1,1.4329654202196895,"SwitchDetected",1
123456,"TwoPole",67,51,3,0.5,1,"PairwiseSupport","multi-point",3,3,"one-point",1,"calibrated",3.7996059667886293,0.014484524668619464,3,3,,,,"",
123456,"TwoPole",68,51,3,0.5,1,"PairwiseSupport","multi-point",3,3,"one-point",1,"calibrated",2.600154083204931,0.02495807999467492,3,3,,,,"",
123456,"TwoPole",69,51,3,0.5,1,"PairwiseSupport","two-point",2,2,"one-point",1,"degenerate",,,,,2,1,1.0588995077933394,"SwitchDetected",1
123456,"TwoPole",70,51,3,0.5,1,"PairwiseSupport","one-point",1,1,"one-point",1,"degenerate",,,,,1,1,,"NoSwitchDetected",
123456,"TwoPole",71,51,3,0.5,1,"PairwiseSupport","multi-point",3,3,"one-point",1,"calibrated",2.795609857113274,0.004752931844786784,3,3,,,,"",
123456,"TwoPole",72,51,3,0.5,1,"PairwiseSupport","two-point",2,2,"one-point",1,"degenerate",,,,,2,3,3.906929052181016,"SwitchDetected",3
123456,"TwoPole",73,51,3,0.5,1,"PairwiseSupport","one-point",1,1,"one-point",1,"degenerate",,,,,1,1,,"NoSwitchDetected",
123456,"TwoPole",74,51,3,0.5,1,"PairwiseSupport","two-point",2,2,"one-point",1,"degenerate",,,,,1,3,1.169933063033857,"SwitchDetected",3
