"m","lambda","eta","profiles","nCalibrated","calibratedFrequency","nDegenerate","degenerateFrequency","meanPStar","medianPStar","q1PStar","q3PStar","minPStar","maxPStar"
3,0.5,1,200,77,0.385,123,0.615,1.2577007055478457,1.2233801540552787,1,1.3223626212165736,"1","1.5938606847697756"
3,0.5,2,200,13,0.065,187,0.935,1.6740335319144886,1.6652275811027506,1.3923267326732671,2.17566478646253,"1","2.435943702634428"
3,0.5,3,200,3,0.015,197,0.985,1.877590925672613,1.879961008216126,1.7432851239669418,2.009526644834772,"1.7432851239669418","2.009526644834772"
3,0.6,1,200,12,0.06,188,0.94,3.0202318403610904,2.9246100519930676,2.9246100519930676,2.9246100519930676,"2.5037091988130564","3.7087912087912085"
3,0.6,2,200,9,0.045,191,0.955,1.6226166403683202,1.1741172377804836,1,1.7073479195649424,"1","3.3308660251665434"
3,0.6,3,200,3,0.015,197,0.985,1.3468736642934445,1.2233801540552787,1.2233801540552787,1.5938606847697756,"1.2233801540552787","1.5938606847697756"
3,0.7,1,200,0,0,200,1,,,,,,
3,0.7,2,200,7,0.035,193,0.965,1.4476630470727982,1.4621466478934257,1.0025621031525007,1.6860247283626826,"1.0025621031525007","2.1034590215020255"
3,0.7,3,200,3,0.015,197,0.985,2.15490129920981,2.325581395348837,1.8135411069317569,2.325581395348837,"1.8135411069317569","2.325581395348837"
3,0.8,1,200,0,0,200,1,,,,,,
3,0.8,2,200,1,0.005,199,0.995,1,1,1,1,"1","1"
3,0.8,3,200,4,0.02,196,0.98,1.709896906326104,1.6164533994450254,1,2.009526644834772,"1","2.6066808264143657"
5,0.5,1,200,137,0.685,63,0.315,1.7538943499012793,1.5112504197917833,1.2016021361815754,2.035892022319409,"1","5.9628975265017665"
5,0.5,2,200,125,0.625,75,0.375,2.8313722985272163,2.141157811260904,1.5028386953133697,3.2798833819241984,"1","11.042944785276074"
5,0.5,3,200,110,0.55,90,0.45,3.195723785866465,2.3186476579276367,1.4542712485187976,3.9244186046511618,"1","12.064343163538874"
5,0.6,1,200,139,0.695,61,0.305,2.5005580317610923,2.267002518891687,1.801441152922338,2.9163966299416724,"1.348786092516735","5.592377796188898"
5,0.6,2,200,81,0.405,119,0.595,4.197932054977927,3.3724706470147385,2.632092025736011,4.775380261761585,"1.2709470909433254","17.704918032786885"
5,0.6,3,200,55,0.275,145,0.725,5.092017802369515,4.368932038834951,3.0228392297357813,7.053291536050157,"1","15.428571428571425"
5,0.7,1,200,154,0.77,46,0.23,3.5052433944755674,3.1649917433564356,2.6066808264143657,4.04191616766467,"1.7660910518053372","9.64630225080386"
5,0.7,2,200,92,0.46,108,0.54,5.347068520077423,4.996726792589606,3.7087912087912085,6.238447319778189,"2.1034590215020255","19.285714285714285"
5,0.7,3,200,43,0.215,157,0.785,6.2781515465445805,4.9504950495049505,4.041916167664669,6.919528446950282,"2.158273381294964","20"
5,0.8,1,200,151,0.755,49,0.245,5.088000419907378,4.775380261761585,4.249291784702549,5.834053586862576,"2.7113878288813016","10.452961672473869"
5,0.8,2,200,45,0.225,155,0.775,6.527898940793157,6.097560975609756,4.861361181130716,7.736389684813753,"3.5498290823034444","13.6986301369863"
5,0.8,3,200,12,0.06,188,0.94,10.810233827340161,8.454181533885501,7.364975450081833,14.19558359621451,"3.3202164289227745","20"
7,0.5,1,200,91,0.455,109,0.545,1.0825709964933259,1.0550171928727727,1.0025621031525007,1.1298962169400737,"1","1.4068361817423927"
7,0.5,2,200,101,0.505,99,0.495,1.1430959208868534,1.0921446484912223,1.015572105619499,1.179245283018868,"1","2.055420219244823"
7,0.5,3,200,121,0.605,79,0.395,1.3389710854499288,1.1442617392778438,1.0395010395010396,1.3555577869263984,"1","7.079181961195594"
7,0.6,1,200,105,0.525,95,0.475,1.4935126509038708,1.4945200929923614,1.3711151736745886,1.6129032258064517,"1.169033598891583","1.9477708844322608"
7,0.6,2,200,127,0.635,73,0.365,1.647141853445056,1.5112504197917833,1.3555577869263984,1.6449372486901424,"1.0709186101856258","6.346967559943582"
7,0.6,3,200,122,0.61,78,0.39,2.1292046281249033,1.7660910518053372,1.530612244897959,2.229562345169281,"1.0235414534288638","20"
7,0.7,1,200,122,0.61,78,0.39,1.912594288099691,1.8669616927119346,1.7432851239669418,2.039891205802357,"1.4291763709506669","2.8932704672096015"
7,0.7,2,200,124,0.62,76,0.38,2.2365431882628632,2.03224314339308,1.838235294117647,2.3927685218007797,"1.3995438523740409","5.710659898477157"
7,0.7,3,200,144,0.72,56,0.28,3.057189219867679,2.4441298894643526,2.055420219244823,3.2119914346895073,"1.2417218543046358","20"
7,0.8,1,200,122,0.61,78,0.39,2.499127753549184,2.469413263032287,2.2481265611990007,2.7388922702373706,"1.838235294117647","3.7087912087912085"
7,0.8,2,200,138,0.69,62,0.31,2.968063762025971,2.7113878288813016,2.305721605465414,3.2119914346895073,"1.838235294117647","6.7669172932330826"
7,0.8,3,200,126,0.63,74,0.37,4.01901156922922,3.188274198357412,2.4807056229327453,4.103343465045592,"1.7182130584192439","20"
