"m","lambda","eta","profiles","nOnePoint","onePointFrequency","nTwoPoint","twoPointFrequency","nMultiPoint","multiPointFrequency","nMultiPointDegenerate","multiPointDegenerateFrequency"
3,0.5,1,200,2,0.01,47,0.235,151,0.755,74,0.37
3,0.5,2,200,39,0.195,137,0.685,24,0.12,11,0.055
3,0.5,3,200,104,0.52,90,0.45,6,0.03,3,0.015
3,0.6,1,200,14,0.07,164,0.82,22,0.11,10,0.05
3,0.6,2,200,44,0.22,134,0.67,22,0.11,13,0.065
3,0.6,3,200,84,0.42,103,0.515,13,0.065,10,0.05
3,0.7,1,200,22,0.11,178,0.89,0,0,0,0
3,0.7,2,200,60,0.3,123,0.615,17,0.085,10,0.05
3,0.7,3,200,102,0.51,86,0.43,12,0.06,9,0.045
3,0.8,1,200,53,0.265,147,0.735,0,0,0,0
3,0.8,2,200,62,0.31,134,0.67,4,0.02,3,0.015
3,0.8,3,200,107,0.535,86,0.43,7,0.035,3,0.015
5,0.5,1,200,0,0,0,0,200,1,63,0.315
5,0.5,2,200,0,0,14,0.07,186,0.93,61,0.305
5,0.5,3,200,5,0.025,43,0.215,152,0.76,42,0.21
5,0.6,1,200,0,0,0,0,200,1,61,0.305
5,0.6,2,200,0,0,47,0.235,153,0.765,72,0.36
5,0.6,3,200,9,0.045,91,0.455,100,0.5,45,0.225
5,0.7,1,200,0,0,5,0.025,195,0.975,41,0.205
5,0.7,2,200,5,0.025,74,0.37,121,0.605,29,0.145
5,0.7,3,200,23,0.115,114,0.57,63,0.315,20,0.1
5,0.8,1,200,0,0,17,0.085,183,0.915,32,0.16
5,0.8,2,200,18,0.09,123,0.615,59,0.295,14,0.07
5,0.8,3,200,67,0.335,116,0.58,17,0.085,5,0.025
7,0.5,1,200,0,0,0,0,200,1,109,0.545
7,0.5,2,200,0,0,0,0,200,1,99,0.495
7,0.5,3,200,0,0,0,0,200,1,79,0.395
7,0.6,1,200,0,0,0,0,200,1,95,0.475
7,0.6,2,200,0,0,0,0,200,1,73,0.365
7,0.6,3,200,0,0,1,0.005,199,0.995,77,0.385
7,0.7,1,200,0,0,0,0,200,1,78,0.39
7,0.7,2,200,0,0,1,0.005,199,0.995,75,0.375
7,0.7,3,200,0,0,3,0.015,197,0.985,53,0.265
7,0.8,1,200,0,0,1,0.005,199,0.995,77,0.385
7,0.8,2,200,0,0,6,0.03,194,0.97,56,0.28
7,0.8,3,200,0,0,15,0.075,185,0.925,59,0.295
