"experimentSeed","model","n","m","lambda","eta","legitimacySignal","reps","nOnePoint","nTwoPoint","nMultiPoint","onePointFrequency","twoPointFrequency","multiPointFrequency","meanMaxFrontSize","nCalibrated","nDegenerate","calibratedFrequency","degenerateFrequency","nMultiPointDegenerate","multiPointDegenerateFrequency","calibratedGivenMultiPoint","meanPStar","medianPStar","q1PStar","q3PStar","minPStar","maxPStar","meanAreaStar","medianAreaStar","nDegenerateWithWinnerSwitch","nDegenerateWithFiniteWinnerSwitch","nDegenerateWithInfinityWinnerSwitch","winnerSwitchFrequencyGivenDegenerate","finiteWinnerSwitchFrequencyGivenDegenerate","meanFirstWinnerSwitchP","medianFirstWinnerSwitchP","q1FirstWinnerSwitchP","q3FirstWinnerSwitchP"
123456,"TwoPole",51,3,0.5,1,"TopSupport",200,2,47,151,0.01,0.235,0.755,2.745,77,123,0.385,0.615,74,0.37,0.5099337748344371,"1.2577007055478457","1.2233801540552787","1.","1.3223626212165736","1.","1.5938606847697756","0.011136557334856842","0.008601247583154564",89,89,0,0.7235772357723578,0.7235772357723578,1.5143036160171193,1.2730185375943144,1.082466376912229,1.7004410155630727
123456,"TwoPole",51,3,0.5,2,"TopSupport",200,39,137,24,0.195,0.685,0.12,1.925,13,187,0.065,0.935,11,0.055,0.5416666666666666,"1.6740335319144886","1.6652275811027506","1.3923267326732671","2.17566478646253","1.","2.435943702634428","0.011672524430254027","0.012580072755759607",97,97,0,0.5187165775401069,0.5187165775401069,1.879844131072994,1.7369833590336334,1.3536409773826539,2.2224113719531116
123456,"TwoPole",51,3,0.5,3,"TopSupport",200,104,90,6,0.52,0.45,0.03,1.51,3,197,0.015,0.985,3,0.015,0.5,"1.877590925672613","1.879961008216126","1.7432851239669418","2.009526644834772","1.7432851239669418","2.009526644834772","0.007159620720148378","0.00743665629335312",45,45,0,0.22842639593908629,0.22842639593908629,1.9529863107685572,1.9068912400437852,1.4150462671072566,2.2224113719531116
123456,"TwoPole",51,3,0.6,1,"TopSupport",200,14,164,22,0.07,0.82,0.11,2.04,12,188,0.06,0.94,10,0.05,0.5454545454545454,"3.0202318403610904","2.9246100519930676","2.9246100519930676","2.9246100519930676","2.5037091988130564","3.7087912087912085","0.03757788426740124","0.03513122852484074",57,57,0,0.30319148936170215,0.30319148936170215,1.623062235773152,1.392324116466077,1.2537659274722734,1.8365134267862055
123456,"TwoPole",51,3,0.6,2,"TopSupport",200,44,134,22,0.22,0.67,0.11,1.89,9,191,0.045,0.955,13,0.065,0.4090909090909091,"1.62261664036832","1.1741172377804836","1.","1.7073479195649424","1.","3.3308660251665434","0.01369478848365437","0.013310714105180504",84,84,0,0.4397905759162304,0.4397905759162304,1.975044389030892,1.7369833590336334,1.3219291661716357,2.584967147535138
123456,"TwoPole",51,3,0.6,3,"TopSupport",200,84,103,13,0.42,0.515,0.065,1.645,3,197,0.015,0.985,10,0.05,0.23076923076923078,"1.3468736642934445","1.2233801540552787","1.2233801540552787","1.5938606847697756","1.2233801540552787","1.5938606847697756","0.011098266374931711","0.009933621734334416",47,47,0,0.23857868020304568,0.23857868020304568,1.8943573627998922,1.7004410155630727,1.3219291661716357,2.4150409410169296
123456,"TwoPole",51,3,0.7,1,"TopSupport",200,22,178,0,0.11,0.89,0,1.89,0,200,0,1,0,0,,"MeanOrMissing[Missing[""NoPStar""]]","MedianOrMissing[Missing[""NoPStar""]]","QuantileOrMissing[Missing[""NoPStar""], 1/4]","QuantileOrMissing[Missing[""NoPStar""], 3/4]","NumericValuesOnly[Missing[""NoPStar""]]","NumericValuesOnly[Missing[""NoPStar""]]","MeanOrMissing[Missing[""NoArea""]]","MedianOrMissing[Missing[""NoArea""]]",48,48,0,0.24,0.24,1.4612795404137475,1.3219291661716357,1.157546297171257,1.4150462671072566
123456,"TwoPole",51,3,0.7,2,"TopSupport",200,60,123,17,0.3,0.615,0.085,1.785,7,193,0.035,0.965,10,0.05,0.4117647058823529,"1.4476630470727982","1.4621466478934257","1.0025621031525007","1.6860247283626826","1.0025621031525007","2.1034590215020255","0.007429141491621639","0.004923703211339545",103,103,0,0.533678756476684,0.533678756476684,1.8518002734874726,1.6438666786398168,1.2801172607412672,2.3219378771076404
123456,"TwoPole",51,3,0.7,3,"TopSupport",200,102,86,12,0.51,0.43,0.06,1.55,3,197,0.015,0.985,9,0.045,0.25,"2.15490129920981","2.325581395348837","1.8135411069317569","2.325581395348837","1.8135411069317569","2.325581395348837","0.005795768886332483","0.004717497113752704",66,66,0,0.3350253807106599,0.3350253807106599,1.5908035075037228,1.4189758425543009,1.000005950963148,2.00001159674693
123456,"TwoPole",51,3,0.8,1,"TopSupport",200,53,147,0,0.265,0.735,0,1.735,0,200,0,1,0,0,,"MeanOrMissing[Missing[""NoPStar""]]","MedianOrMissing[Missing[""NoPStar""]]","QuantileOrMissing[Missing[""NoPStar""], 1/4]","QuantileOrMissing[Missing[""NoPStar""], 3/4]","NumericValuesOnly[Missing[""NoPStar""]]","NumericValuesOnly[Missing[""NoPStar""]]","MeanOrMissing[Missing[""NoArea""]]","MedianOrMissing[Missing[""NoArea""]]",14,14,0,0.07,0.07,1.2595751177080248,1.2107965235770655,1.0506305290120936,1.3985584195197238
