"canonicalRowIndex","rep","n","m","lambda","eta","pStar","areaStar","selectedCandidateStar","p2Winner","p2Area","p2Comparable","p2WinnerDiffers","p2RelativeGain","ci1P","ci1Winner","ci1Area","ci1Comparable","ci1WinnerDiffers","ci1RelativeGain"
1,1,51,3,0.5,1,"1.139432815665091",0.03368640276981107,3,3,0.028627059256072986,true,false,0.1767329109316316,1.5849625007211563,3,0.031041289943352597,true,false,0.08521272251525486
3,3,51,3,0.5,1,"1.5938606847697756",0.0019738434413961274,3,3,0.0017431620337770436,true,false,0.13233503435090807,1.5849625007211563,1,0,false,,
5,5,51,3,0.5,1,"1.2233801540552787",0.006531586359012803,3,3,0.005074586254141461,true,false,0.28711702430562835,1.5849625007211563,3,0.00588615555552914,true,false,0.10965235243866091
11,11,51,3,0.5,1,"1.2233801540552787",0.022912558295759257,3,3,0.0198528419563848,true,false,0.15411981549525366,1.5849625007211563,3,0.021477024652593525,true,false,0.06684043373728583
17,17,51,3,0.5,1,"1.3223626212165736",0.014385679226013394,3,3,0.012561674283193887,true,false,0.14520396737716892,1.5849625007211563,3,0.013672521434288975,true,false,0.05215993225184557
19,19,51,3,0.5,1,"1.3223626212165736",0.0031702981597412265,3,3,0.0024820353562352883,true,false,0.2772977434736805,1.5849625007211563,3,0.002928157693047463,true,false,0.08269379318904006
20,20,51,3,0.5,1,"1.5938606847697756",0.001973843441396161,3,3,0.0017431620337770436,true,false,0.13233503435092722,1.5849625007211563,1,0,false,,
23,23,51,3,0.5,1,"1.1741172377804836",0.034157996467923356,3,3,0.02981289138363343,true,false,0.14574584626418635,1.5849625007211563,3,0.03198423919266978,true,false,0.06796338853518084
27,27,51,3,0.5,1,"1",0.0023291925465838462,1,1,0.001095193390046137,true,false,1.1267408731217092,1.5849625007211563,1,0.001664563159697344,true,false,0.3992815670673302
31,31,51,3,0.5,1,"1.3223626212165736",0.003170298159741278,3,3,0.0024820353562352883,true,false,0.27729774347370134,1.5849625007211563,3,0.002928157693047463,true,false,0.08269379318905769
32,32,51,3,0.5,1,"1.2233801540552787",0.03234248521397316,3,3,0.028946931828629893,true,false,0.117302704322705,1.5849625007211563,3,0.030764255240236214,true,false,0.05130076972163462
34,34,51,3,0.5,1,"1.5938606847697756",0.011905088579565464,3,3,0.011111350625708288,true,false,0.07143487597454698,1.5849625007211563,1,0,false,,
38,38,51,3,0.5,1,"1.0877447425670776",0.019245617306842072,3,3,0.014584056313684353,true,false,0.31963405056134725,1.5849625007211563,3,0.01675984785663909,true,false,0.14831694604067014
40,40,51,3,0.5,1,"1.3223626212165736",0.0031702981597412265,3,3,0.0024820353562352883,true,false,0.2772977434736805,1.5849625007211563,3,0.002928157693047463,true,false,0.08269379318904006
43,43,51,3,0.5,1,"1.3223626212165736",0.0031702981597412265,3,3,0.0024820353562352883,true,false,0.2772977434736805,1.5849625007211563,3,0.002928157693047463,true,false,0.08269379318904006
44,44,51,3,0.5,1,"1",0.018145161290322592,1,1,0.014902151878428478,true,false,0.21762020937315188,1.5849625007211563,1,0.01624315235090243,true,false,0.11709604751164526
45,45,51,3,0.5,1,"1",0.0011755485893416892,1,1,0.0003915386700670557,true,false,2.0023818315068658,1.5849625007211563,1,0.000742081800185468,true,false,0.5841226520417089
48,48,51,3,0.5,1,"1.5938606847697756",0.008301555661679135,3,3,0.007646375209958999,true,false,0.08568510355950075,1.5849625007211563,1,0,false,,
49,49,51,3,0.5,1,"1.119310173285797",0.03099015041243611,3,3,0.025595386327750467,true,false,0.21077095753138334,1.5849625007211563,3,0.028110368690825532,true,false,0.10244553364931358
